freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250001,Ms. Nicole Kidd,female,52.0,Italy,Italian,Blockchain Development,11.0,100.0,0.0,False,
FL250002,Vanessa Garcia,female,52.0,Australia,English,Mobile Apps,34.0,100.0,3.3,True,84.0
FL250003,Juan Nelson,male,53.0,Germany,German,Graphic Design,31.0,50.0,0.0,False,71.0
FL250004,Amanda Spencer,female,38.0,Australia,English,Web Development,4.0,40.0,1.5,False,90.0
FL250005,Lynn Curtis DDS,female,53.0,Germany,German,Web Development,27.0,30.0,4.8,False,83.0
FL250006,Lisa Johnson,female,59.0,Netherlands,Dutch,AI,14.0,30.0,2.4,False,
FL250007,Eric Myers,male,52.0,Indonesia,Indonesian,Data Analysis,10.0,75.0,3.1,False,94.0
FL250008,Ricky Graham,male,43.0,Italy,Italian,Blockchain Development,14.0,40.0,4.6,False,94.0
FL250009,Sean Martin,male,26.0,United States,English,Blockchain Development,4.0,52.46136865342164,4.0,True,76.0
FL250010,Matthew Lloyd,male,52.0,Turkey,Turkish,AI,22.0,50.0,0.0,True,
FL250011,Gavin Randall,male,40.0,United Kingdom,English,Data Analysis,17.0,40.0,3.6,True,77.0
FL250012,Michelle Curtis,female,55.0,Argentina,Spanish,UI/UX Design,15.0,52.46136865342164,0.0,True,86.0
FL250013,Alice Schneider,female,57.0,United Kingdom,English,Cybersecurity,18.0,52.46136865342164,2.0,False,86.0
FL250014,Phillip Shelton,male,38.0,Argentina,Spanish,Graphic Design,20.0,75.0,2.9,True,93.0
FL250015,Edward Ferguson,male,50.0,Germany,German,Data Analysis,22.0,75.0,3.7,True,70.0
FL250016,Wyatt Stout,male,42.0,Japan,Japanese,Data Analysis,0.0,30.0,1.2,False,69.0
FL250017,Laura Johnson,female,39.0,Australia,English,DevOps,13.0,30.0,2.5,False,60.0
FL250019,Tyler Aguirre,male,56.0,United States,English,UI/UX Design,31.0,50.0,1.1,False,75.0
FL250020,Matthew Lawson,male,57.0,Italy,Italian,Web Development,3.0,100.0,1.8,True,68.0
FL250021,James Cherry,male,41.0,Indonesia,Indonesian,AI,9.0,50.0,1.8,False,65.0
FL250022,Samuel Sanford,male,51.0,Japan,Japanese,DevOps,9.0,52.46136865342164,2.4,False,69.0
FL250023,Cesar Greene,male,51.0,Brazil,Portuguese,Cybersecurity,21.0,30.0,4.7,False,
FL250024,Melanie Carter,female,51.0,South Korea,Korean,Machine Learning,15.0,50.0,1.3,True,100.0
FL250025,Jennifer Martin,female,54.0,Indonesia,Indonesian,Machine Learning,13.0,75.0,2.9,,92.0
FL250026,Anna Mccann,female,22.0,South Korea,Korean,DevOps,0.0,30.0,1.2,True,70.0
FL250027,Marissa Bass,female,34.0,Japan,Japanese,Blockchain Development,8.0,20.0,0.0,True,89.0
FL250028,Alexis Day,female,36.0,Russia,Russian,Graphic Design,11.0,52.46136865342164,1.8,True,86.0
FL250029,Megan Jones,female,47.0,Canada,English,AI,22.0,30.0,1.3,False,62.0
FL250030,Lori Smith,female,41.0,Netherlands,Dutch,Data Analysis,14.0,75.0,1.2,False,
FL250031,Eric Carpenter,male,22.0,Netherlands,Dutch,DevOps,4.0,52.46136865342164,1.0,True,
FL250032,Timothy Daniels,male,38.0,France,French,Machine Learning,19.0,100.0,4.2,False,68.0
FL250033,Robert Nelson,male,46.0,Egypt,Arabic,AI,9.0,20.0,1.4,True,76.0
FL250034,Michael Anderson,male,41.0,South Korea,Korean,AI,9.0,40.0,2.4,True,82.0
FL250035,Jessica Snyder,female,54.0,United States,English,Web Development,32.0,75.0,1.0,True,81.0
FL250036,Emily Daniels,female,52.0,South Korea,Korean,Web Development,28.0,20.0,0.0,False,
FL250037,Jamie Ramirez,female,42.0,Japan,Japanese,Mobile Apps,6.0,40.0,0.0,False,63.0
FL250038,Amy Harrison,female,29.0,Netherlands,Dutch,Graphic Design,10.0,40.0,2.2,False,67.0
FL250039,Melinda White,female,42.0,South Africa,Afrikaans,Mobile Apps,23.0,50.0,3.2,True,
FL250040,James Hernandez,male,60.0,Japan,Japanese,Web Development,13.0,20.0,3.6,False,80.0
FL250041,Angelica Rogers,female,59.0,United Kingdom,English,AI,3.0,50.0,0.0,False,
FL250042,Savannah Williams,female,21.0,Canada,English,Web Development,0.0,30.0,2.7,True,84.0
FL250043,Kaitlyn Schmidt,female,35.0,Germany,German,DevOps,10.0,50.0,0.0,False,
FL250044,Jason Singh,male,41.0,United Kingdom,English,Data Analysis,9.0,20.0,2.8,True,63.0
FL250045,Michelle Ramirez,female,51.0,Netherlands,Dutch,Machine Learning,23.0,20.0,2.5,False,80.0
FL250046,James Brown,male,41.0,South Africa,Afrikaans,Web Development,9.0,75.0,4.9,True,74.0
FL250047,Mrs. Samantha Simmons,female,47.0,Egypt,Arabic,DevOps,15.0,30.0,4.5,True,85.0
FL250048,Chase Mason,male,25.0,China,Mandarin,Graphic Design,4.0,50.0,2.7,False,77.0
FL250049,Dominique Ward,female,25.0,Mexico,Spanish,Mobile Apps,7.0,20.0,1.9,False,
FL250050,Lance Griffin,male,29.0,Netherlands,Dutch,UI/UX Design,1.0,20.0,1.4,True,63.0
FL250051,Julie Burgess,female,23.0,Argentina,Spanish,Cybersecurity,0.0,75.0,1.9,True,79.0
FL250052,Don Scott,male,31.0,France,French,Data Analysis,8.0,50.0,3.4,False,
FL250053,Kyle Atkinson,male,51.0,Germany,German,Machine Learning,33.0,75.0,3.3,,68.0
FL250054,Jimmy Hogan,male,41.0,Spain,Spanish,UI/UX Design,1.0,30.0,0.0,False,68.0
FL250055,Jennifer Mcintyre,female,29.0,Turkey,Turkish,Cybersecurity,11.0,100.0,2.3,True,72.0
FL250056,Larry Simpson,male,50.0,United Kingdom,English,AI,15.0,52.46136865342164,2.0,True,65.0
FL250057,Laura Price,female,26.0,United Kingdom,English,DevOps,8.0,50.0,1.3,False,76.0
FL250058,Mark Wright,male,38.0,Canada,English,AI,17.0,40.0,4.0,True,90.0
FL250059,Samantha Mcdaniel,female,23.0,India,Hindi,Mobile Apps,9.0,75.0,3.6,True,65.0
FL250060,Barbara Foster,female,51.0,South Africa,Afrikaans,DevOps,28.0,40.0,3.9,False,63.0
FL250061,Courtney Tran,female,51.0,Indonesia,Indonesian,AI,33.0,75.0,0.0,True,
FL250062,Eddie Todd,male,47.0,Germany,German,AI,18.0,75.0,0.0,False,
FL250063,Christine Johnson,female,34.0,Russia,Russian,UI/UX Design,16.0,20.0,2.3,True,93.0
FL250064,Leah Phelps,female,58.0,Indonesia,Indonesian,Data Analysis,35.0,50.0,4.7,False,70.0
FL250065,Rebekah Williams,female,50.0,Russia,Russian,AI,14.0,52.46136865342164,3.5,True,83.0
FL250066,Crystal Wilson,female,34.0,Spain,Spanish,Web Development,12.0,40.0,2.4,True,64.0
FL250067,Ashley Cordova,female,45.0,Brazil,Portuguese,AI,11.0,75.0,4.0,False,100.0
FL250068,Vicki Kelly,female,55.0,Brazil,Portuguese,Web Development,0.0,40.0,0.0,True,
FL250069,Corey Warren,male,41.0,Argentina,Spanish,UI/UX Design,6.0,100.0,1.5,False,
FL250070,Gina Thompson,female,60.0,China,Mandarin,UI/UX Design,38.0,20.0,2.0,False,71.0
FL250071,Yvonne Berg,female,33.0,South Africa,Afrikaans,Mobile Apps,11.0,52.46136865342164,0.0,True,84.0
FL250072,Thomas Miller,male,60.0,Italy,Italian,DevOps,13.0,50.0,1.0,False,
FL250073,Nicholas Burton,male,40.0,United States,English,Web Development,9.0,100.0,4.5,True,69.0
FL250074,Jorge Riley,male,59.0,Australia,English,Blockchain Development,4.0,52.46136865342164,1.9,False,88.0
FL250075,Melvin Harris,male,36.0,Italy,Italian,Machine Learning,14.0,100.0,3.7,False,
FL250076,Jeremy Meyer,male,32.0,India,Hindi,Data Analysis,9.0,30.0,1.9,True,96.0
FL250077,Timothy Lee,male,59.0,Australia,English,AI,9.0,75.0,4.0,True,96.0
FL250078,Diana Bautista,female,54.0,Spain,Spanish,DevOps,32.0,40.0,1.8,False,
FL250079,Leslie Rodriguez,female,37.0,Canada,English,Graphic Design,9.0,52.46136865342164,0.0,True,89.0
FL250080,Noah Wiggins,male,54.0,India,Hindi,Machine Learning,21.0,100.0,4.6,False,
FL250081,Bridget Williams,female,33.0,Argentina,Spanish,UI/UX Design,12.0,100.0,3.6,False,63.0
FL250082,Veronica Baker,female,25.0,Egypt,Arabic,Web Development,7.0,40.0,4.4,,81.0
FL250083,Andrew Avila,male,41.0,China,Mandarin,DevOps,3.0,40.0,4.6,False,74.0
FL250084,Michael Roberson,male,35.0,South Korea,Korean,Web Development,5.0,75.0,3.2,False,72.0
FL250085,Austin Jenkins,male,59.0,South Korea,Korean,AI,30.0,40.0,0.0,True,
FL250086,Brenda Green,female,21.0,China,Mandarin,DevOps,2.0,100.0,2.6,True,85.0
